Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,ref
-4000.0000,-22.2957,17.7984,-39.7585,-62.2201,47.0682,-14.3864,33.2533,7.6581,35.5342,16.9047,-24.8059,-18.3217,3.5393,-15.8649,14.0428,-34.2416,-36.7831,-27.8049,51.2122,11.4482
-3992.1875,-26.5476,-20.6003,-44.3046,-31.1463,6.9502,-18.5634,29.8892,-12.3005,-4.7940,13.2625,44.9726,-28.6961,36.3899,-19.9729,47.4134,-38.6230,-41.2647,-32.1790,13.1305,7.9314
-3984.3750,-10.1981,-39.3943,7.7591,18.5262,61.4341,-2.1391,10.1216,20.7808,-97.5294,-6.7774,-84.6537,-0.7458,1.4938,-3.4847,27.3816,13.5964,9.8552,-15.9508,30.6498,25.0168
-3976.5625,-2.8964,-30.2408,16.7712,-9.8519,34.8620,-29.7669,-53.6997,-32.7938,-51.3182,-33.8608,107.6813,-34.4790,65.8444,-31.0537,37.3016,-14.2447,52.9162,-8.7698,-30.8872,-1.9418
-3968.7500,42.1443,-56.3344,62.5262,33.5217,8.0397,-20.6409,-43.7767,-30.4945,-78.3547,-24.1855,42.7563,-7.4420,29.2367,15.1260,9.9715,-5.3365,131.7314,-34.8376,-56.6752,7.8538
-3960.9375,67.4402,-65.1781,126.5333,94.1484,36.4720,6.7287,-89.6084,-45.7521,-123.1455,-70.2659,107.0802,17.1120,42.6966,42.5631,-36.1076,58.8300,121.7946,-44.6606,-135.2170,-1.0993
-3953.1250,88.4882,-7.2713,73.2893,43.5178,-52.3523,-45.1576,-103.6905,-75.6046,-65.1825,-84.6017,164.1695,10.3515,47.3764,63.7508,22.5647,79.7519,36.6028,-93.7342,-147.0125,20.6995
-3945.3125,82.4867,57.5840,65.0001,36.8468,-59.2279,-16.0903,-37.8254,-34.2993,-71.2797,-18.9872,9.1985,44.3828,-25.4329,55.8910,-21.8176,34.6234,30.3617,-99.8527,-82.8635,50.4555
-3937.5000,67.0868,43.0423,12.3095,-13.2277,-145.5076,-31.4255,-15.3695,-50.0350,-12.7820,3.2251,141.8424,-8.3976,24.2763,3.6274,37.4007,-16.9041,-20.2811,-115.3722,-62.1157,35.8124
-3929.6875,41.6767,19.5251,22.6132,-39.3140,-133.7921,-20.7677,33.0839,-6.6206,35.7175,14.4383,4.4731,-23.4760,-13.7094,-21.6253,48.6149,29.5767,-9.9263,-104.8970,-15.3624,47.1694
-3921.8750,34.3572,-57.8776,15.0118,22.7039,-67.9693,7.9875,26.6394,3.1777,29.3118,7.7493,-2.8086,-10.1123,-10.7754,7.2223,4.9256,22.1630,17.5234,-41.3188,-21.5066,40.6269
